spot1,spot2,date,amount
DC5,DC9,2021/1/7,12
DC5,DC10,2021/1/7,399
DC7,DC3,2021/1/7,338
DC7,DC5,2021/1/7,316
DC7,DC9,2021/1/7,3894
DC7,DC10,2021/1/7,1
DC9,DC3,2021/1/7,9987
DC9,DC5,2021/1/7,4107
DC9,DC10,2021/1/7,392
DC10,DC3,2021/1/7,5258
DC10,DC5,2021/1/7,5178
DC10,DC9,2021/1/7,513
DC3,DC5,2021/1/8,13
DC3,DC10,2021/1/8,4
DC5,DC3,2021/1/8,65
DC5,DC9,2021/1/8,4
DC5,DC10,2021/1/8,501
DC7,DC3,2021/1/8,737
DC7,DC5,2021/1/8,276
DC7,DC9,2021/1/8,2095
DC7,DC10,2021/1/8,1
DC9,DC3,2021/1/8,10413
DC9,DC5,2021/1/8,9527
DC9,DC10,2021/1/8,338
DC10,DC3,2021/1/8,5835
DC10,DC5,2021/1/8,5094
DC10,DC9,2021/1/8,445
DC3,DC5,2021/1/9,2
DC3,DC10,2021/1/9,3
DC5,DC3,2021/1/9,155
DC5,DC9,2021/1/9,5
DC5,DC10,2021/1/9,591
DC7,DC3,2021/1/9,527
DC7,DC5,2021/1/9,345
DC7,DC9,2021/1/9,3667
DC7,DC10,2021/1/9,15
DC9,DC3,2021/1/9,6677
DC9,DC5,2021/1/9,10705
DC9,DC10,2021/1/9,191
DC10,DC3,2021/1/9,4838
DC10,DC5,2021/1/9,8113
DC10,DC9,2021/1/9,704
DC3,DC5,2021/1/10,6
DC5,DC3,2021/1/10,89
DC5,DC9,2021/1/10,1
DC5,DC10,2021/1/10,328
DC7,DC3,2021/1/10,420
DC7,DC5,2021/1/10,396
DC7,DC9,2021/1/10,2418
DC7,DC10,2021/1/10,4
DC9,DC3,2021/1/10,9968
DC9,DC5,2021/1/10,10168
DC9,DC10,2021/1/10,203
DC10,DC3,2021/1/10,2597
DC10,DC5,2021/1/10,6917
DC10,DC9,2021/1/10,15457
DC3,DC5,2021/1/11,2
DC3,DC10,2021/1/11,2
DC5,DC3,2021/1/11,307
DC5,DC9,2021/1/11,983
DC5,DC10,2021/1/11,590
DC7,DC3,2021/1/11,813
DC7,DC5,2021/1/11,597
DC7,DC9,2021/1/11,2121
DC7,DC10,2021/1/11,4
DC9,DC3,2021/1/11,12281
DC9,DC5,2021/1/11,4952
DC9,DC10,2021/1/11,1580
DC10,DC3,2021/1/11,6162
DC10,DC5,2021/1/11,7810
DC10,DC9,2021/1/11,6607
DC3,DC5,2021/1/12,3
DC3,DC9,2021/1/12,3
DC3,DC10,2021/1/12,21
DC5,DC3,2021/1/12,568
DC5,DC9,2021/1/12,140
DC5,DC10,2021/1/12,10359
DC7,DC3,2021/1/12,1000
DC7,DC5,2021/1/12,421
DC7,DC9,2021/1/12,1515
DC7,DC10,2021/1/12,3
DC9,DC3,2021/1/12,13587
DC9,DC5,2021/1/12,12088
DC9,DC10,2021/1/12,377
DC10,DC3,2021/1/12,6777
DC10,DC5,2021/1/12,3549
DC10,DC9,2021/1/12,2221
DC3,DC5,2021/1/13,48
DC3,DC9,2021/1/13,3
DC3,DC10,2021/1/13,12
DC5,DC3,2021/1/13,124
DC5,DC9,2021/1/13,3
DC5,DC10,2021/1/13,835
DC7,DC3,2021/1/13,427
DC7,DC5,2021/1/13,277
DC7,DC9,2021/1/13,2728
DC9,DC3,2021/1/13,10554
DC9,DC5,2021/1/13,9393
DC9,DC10,2021/1/13,1118
DC10,DC3,2021/1/13,7829
DC10,DC5,2021/1/13,4380
DC10,DC9,2021/1/13,5306
DC3,DC5,2021/1/14,14
DC5,DC3,2021/1/14,65
DC5,DC9,2021/1/14,7
DC5,DC10,2021/1/14,526
DC7,DC3,2021/1/14,294
DC7,DC5,2021/1/14,197
DC7,DC9,2021/1/14,1070
DC7,DC10,2021/1/14,1
DC9,DC3,2021/1/14,7326
DC9,DC5,2021/1/14,9113
DC9,DC10,2021/1/14,233
DC10,DC3,2021/1/14,5037
DC10,DC5,2021/1/14,5244
DC10,DC9,2021/1/14,2680
DC3,DC5,2021/1/15,13
DC5,DC3,2021/1/15,93
DC5,DC9,2021/1/15,1
DC5,DC10,2021/1/15,378
DC7,DC3,2021/1/15,315
DC7,DC5,2021/1/15,424
DC7,DC9,2021/1/15,1619
DC7,DC10,2021/1/15,4
DC9,DC3,2021/1/15,16214
DC9,DC5,2021/1/15,12751
DC9,DC10,2021/1/15,365
DC10,DC3,2021/1/15,5655
DC10,DC5,2021/1/15,14886
DC10,DC9,2021/1/15,1182
DC3,DC5,2021/1/16,4
DC3,DC10,2021/1/16,9
DC5,DC3,2021/1/16,103
DC5,DC10,2021/1/16,388
DC7,DC3,2021/1/16,394
DC7,DC5,2021/1/16,223
DC7,DC9,2021/1/16,1998
DC7,DC10,2021/1/16,3
DC9,DC3,2021/1/16,13531
DC9,DC5,2021/1/16,11825
DC9,DC10,2021/1/16,536
DC10,DC3,2021/1/16,5585
DC10,DC5,2021/1/16,7131
DC10,DC9,2021/1/16,865
DC3,DC5,2021/1/17,2
DC3,DC10,2021/1/17,5
DC5,DC3,2021/1/17,53
DC5,DC9,2021/1/17,12
DC5,DC10,2021/1/17,496
DC7,DC3,2021/1/17,310
DC7,DC5,2021/1/17,270
DC7,DC9,2021/1/17,2321
DC7,DC10,2021/1/17,4
DC9,DC3,2021/1/17,4559
DC9,DC5,2021/1/17,8216
DC9,DC10,2021/1/17,549
DC10,DC3,2021/1/17,2372
DC10,DC5,2021/1/17,8586
DC10,DC9,2021/1/17,1311
DC3,DC5,2021/1/18,5
DC3,DC10,2021/1/18,4
DC5,DC3,2021/1/18,99
DC5,DC9,2021/1/18,14
DC5,DC10,2021/1/18,669
DC7,DC3,2021/1/18,338
DC7,DC5,2021/1/18,396
DC7,DC9,2021/1/18,1555
DC9,DC3,2021/1/18,7356
DC9,DC5,2021/1/18,16188
DC9,DC10,2021/1/18,401
DC10,DC3,2021/1/18,7113
DC10,DC5,2021/1/18,6711
DC10,DC9,2021/1/18,1626
DC3,DC5,2021/1/19,5
DC3,DC10,2021/1/19,10
DC5,DC3,2021/1/19,162
DC5,DC9,2021/1/19,3
DC5,DC10,2021/1/19,337
DC7,DC3,2021/1/19,680
DC7,DC5,2021/1/19,309
DC7,DC9,2021/1/19,2223
DC9,DC3,2021/1/19,10562
DC9,DC5,2021/1/19,13255
DC9,DC10,2021/1/19,1017
DC10,DC3,2021/1/19,8337
DC10,DC5,2021/1/19,10601
DC10,DC9,2021/1/19,280
DC3,DC5,2021/1/20,5
DC3,DC10,2021/1/20,7
DC5,DC3,2021/1/20,433
DC5,DC9,2021/1/20,39
DC5,DC10,2021/1/20,3167
DC7,DC3,2021/1/20,387
DC7,DC5,2021/1/20,907
DC7,DC9,2021/1/20,2759
DC9,DC3,2021/1/20,12496
DC9,DC5,2021/1/20,13287
DC9,DC10,2021/1/20,883
DC10,DC3,2021/1/20,10911
DC10,DC5,2021/1/20,6932
DC10,DC9,2021/1/20,1197
DC3,DC5,2021/1/21,8
DC3,DC10,2021/1/21,1
DC5,DC3,2021/1/21,124
DC5,DC9,2021/1/21,8
DC5,DC10,2021/1/21,687
DC7,DC3,2021/1/21,256
DC7,DC5,2021/1/21,280
DC7,DC9,2021/1/21,1379
DC7,DC10,2021/1/21,4
DC9,DC3,2021/1/21,13091
DC9,DC5,2021/1/21,8411
DC9,DC10,2021/1/21,370
DC10,DC3,2021/1/21,15659
DC10,DC5,2021/1/21,9593
DC10,DC9,2021/1/21,1002
DC3,DC5,2021/1/22,72
DC3,DC10,2021/1/22,3
DC5,DC3,2021/1/22,226
DC5,DC9,2021/1/22,5
DC5,DC10,2021/1/22,1459
DC7,DC3,2021/1/22,948
DC7,DC5,2021/1/22,439
DC7,DC9,2021/1/22,3859
DC7,DC10,2021/1/22,16
DC9,DC3,2021/1/22,23005
DC9,DC5,2021/1/22,13682
DC9,DC10,2021/1/22,519
DC10,DC3,2021/1/22,6385
DC10,DC5,2021/1/22,14808
DC10,DC9,2021/1/22,1300
DC3,DC5,2021/1/23,18
DC3,DC9,2021/1/23,21
DC3,DC10,2021/1/23,12
DC5,DC3,2021/1/23,113
DC5,DC9,2021/1/23,4
DC5,DC10,2021/1/23,719
DC7,DC3,2021/1/23,434
DC7,DC5,2021/1/23,273
DC7,DC9,2021/1/23,3735
DC7,DC10,2021/1/23,6
DC9,DC3,2021/1/23,11438
DC9,DC5,2021/1/23,11615
DC9,DC10,2021/1/23,1628
DC10,DC3,2021/1/23,13488
DC10,DC5,2021/1/23,6192
DC10,DC9,2021/1/23,702
DC3,DC5,2021/1/24,18
DC3,DC10,2021/1/24,13
DC5,DC3,2021/1/24,141
DC5,DC9,2021/1/24,5
DC5,DC10,2021/1/24,478
DC7,DC3,2021/1/24,363
DC7,DC5,2021/1/24,261
DC7,DC9,2021/1/24,2123
DC7,DC10,2021/1/24,2
DC9,DC3,2021/1/24,12111
DC9,DC5,2021/1/24,11284
DC9,DC10,2021/1/24,1761
DC10,DC3,2021/1/24,18994
DC10,DC5,2021/1/24,7793
DC10,DC9,2021/1/24,804
DC3,DC5,2021/1/25,59
DC3,DC9,2021/1/25,2
DC3,DC10,2021/1/25,24
DC5,DC3,2021/1/25,189
DC5,DC9,2021/1/25,7
DC5,DC10,2021/1/25,646
DC7,DC3,2021/1/25,214
DC7,DC5,2021/1/25,141
DC7,DC9,2021/1/25,1538
DC9,DC3,2021/1/25,19153
DC9,DC5,2021/1/25,9405
DC9,DC10,2021/1/25,888
DC10,DC3,2021/1/25,10850
DC10,DC5,2021/1/25,10670
DC10,DC9,2021/1/25,845
DC3,DC5,2021/1/26,26
DC3,DC10,2021/1/26,11
DC5,DC3,2021/1/26,381
DC5,DC9,2021/1/26,32
DC5,DC10,2021/1/26,1569
DC7,DC3,2021/1/26,403
DC7,DC5,2021/1/26,462
DC7,DC9,2021/1/26,2479
DC7,DC10,2021/1/26,12
DC9,DC3,2021/1/26,20005
DC9,DC5,2021/1/26,10809
DC9,DC10,2021/1/26,1559
DC10,DC3,2021/1/26,4195
DC10,DC5,2021/1/26,19477
DC10,DC9,2021/1/26,647
DC3,DC5,2021/1/27,20
DC3,DC9,2021/1/27,5
DC3,DC10,2021/1/27,17
DC5,DC3,2021/1/27,183
DC5,DC9,2021/1/27,14
DC5,DC10,2021/1/27,570
DC7,DC3,2021/1/27,917
DC7,DC5,2021/1/27,304
DC7,DC9,2021/1/27,2607
DC9,DC3,2021/1/27,21747
DC9,DC5,2021/1/27,10897
DC9,DC10,2021/1/27,355
DC10,DC3,2021/1/27,10258
DC10,DC5,2021/1/27,12906
DC10,DC9,2021/1/27,963
DC3,DC5,2021/1/28,96
DC3,DC9,2021/1/28,25
DC3,DC10,2021/1/28,755
DC5,DC3,2021/1/28,137
DC5,DC9,2021/1/28,4
DC5,DC10,2021/1/28,717
DC7,DC3,2021/1/28,415
DC7,DC5,2021/1/28,258
DC7,DC9,2021/1/28,2898
DC7,DC10,2021/1/28,6
DC9,DC3,2021/1/28,9948
DC9,DC5,2021/1/28,12773
DC9,DC10,2021/1/28,550
DC10,DC3,2021/1/28,10095
DC10,DC5,2021/1/28,13389
DC10,DC9,2021/1/28,1160
DC3,DC5,2021/1/29,131
DC3,DC9,2021/1/29,6
DC3,DC10,2021/1/29,535
DC5,DC3,2021/1/29,268
DC5,DC9,2021/1/29,11
DC5,DC10,2021/1/29,735
DC7,DC3,2021/1/29,443
DC7,DC5,2021/1/29,364
DC7,DC9,2021/1/29,3784
DC7,DC10,2021/1/29,7
DC9,DC3,2021/1/29,11538
DC9,DC5,2021/1/29,21997
DC9,DC10,2021/1/29,500
DC10,DC3,2021/1/29,11109
DC10,DC5,2021/1/29,6852
DC10,DC9,2021/1/29,1421
DC3,DC5,2021/1/30,165
DC3,DC9,2021/1/30,4
DC3,DC10,2021/1/30,607
DC5,DC3,2021/1/30,177
DC5,DC9,2021/1/30,4
DC5,DC10,2021/1/30,915
DC7,DC3,2021/1/30,416
DC7,DC5,2021/1/30,282
DC7,DC9,2021/1/30,3026
DC7,DC10,2021/1/30,13
DC9,DC3,2021/1/30,14439
DC9,DC5,2021/1/30,12866
DC9,DC10,2021/1/30,464
DC10,DC3,2021/1/30,14409
DC10,DC5,2021/1/30,4158
DC10,DC9,2021/1/30,1152
DC3,DC5,2021/1/31,75
DC3,DC9,2021/1/31,7
DC3,DC10,2021/1/31,979
DC5,DC3,2021/1/31,457
DC5,DC9,2021/1/31,2
DC5,DC10,2021/1/31,667
DC7,DC3,2021/1/31,340
DC7,DC5,2021/1/31,370
DC7,DC9,2021/1/31,2176
DC7,DC10,2021/1/31,14
DC9,DC3,2021/1/31,11385
DC9,DC5,2021/1/31,11740
DC9,DC10,2021/1/31,533
DC10,DC3,2021/1/31,5703
DC10,DC5,2021/1/31,6854
DC10,DC9,2021/1/31,551
DC3,DC5,2021/2/1,155
DC3,DC9,2021/2/1,3
DC3,DC10,2021/2/1,458
DC5,DC3,2021/2/1,228
DC5,DC9,2021/2/1,20
DC5,DC10,2021/2/1,989
DC7,DC3,2021/2/1,296
DC7,DC5,2021/2/1,816
DC7,DC9,2021/2/1,2328
DC7,DC10,2021/2/1,2
DC9,DC3,2021/2/1,12381
DC9,DC5,2021/2/1,9253
DC9,DC10,2021/2/1,643
DC10,DC3,2021/2/1,12918
DC10,DC5,2021/2/1,14807
DC10,DC9,2021/2/1,700
DC3,DC5,2021/2/2,182
DC3,DC9,2021/2/2,28
DC3,DC10,2021/2/2,754
DC5,DC3,2021/2/2,223
DC5,DC9,2021/2/2,28
DC5,DC10,2021/2/2,580
DC7,DC3,2021/2/2,673
DC7,DC5,2021/2/2,665
DC7,DC9,2021/2/2,5240
DC7,DC10,2021/2/2,4
DC9,DC3,2021/2/2,30870
DC9,DC5,2021/2/2,9998
DC9,DC10,2021/2/2,314
DC10,DC3,2021/2/2,6625
DC10,DC5,2021/2/2,10584
DC10,DC9,2021/2/2,1648
DC3,DC5,2021/2/3,188
DC3,DC9,2021/2/3,20
DC3,DC10,2021/2/3,911
DC5,DC3,2021/2/3,248
DC5,DC9,2021/2/3,10
DC5,DC10,2021/2/3,1538
DC7,DC3,2021/2/3,815
DC7,DC5,2021/2/3,681
DC7,DC9,2021/2/3,2200
DC9,DC3,2021/2/3,25457
DC9,DC5,2021/2/3,20796
DC9,DC10,2021/2/3,729
DC10,DC3,2021/2/3,9603
DC10,DC5,2021/2/3,4140
DC10,DC9,2021/2/3,3741
DC3,DC5,2021/2/4,217
DC3,DC9,2021/2/4,24
DC3,DC10,2021/2/4,961
DC5,DC3,2021/2/4,250
DC5,DC9,2021/2/4,13
DC5,DC10,2021/2/4,551
DC7,DC3,2021/2/4,959
DC7,DC5,2021/2/4,911
DC7,DC9,2021/2/4,3479
DC7,DC10,2021/2/4,11
DC9,DC3,2021/2/4,12462
DC9,DC5,2021/2/4,21714
DC9,DC10,2021/2/4,956
DC10,DC3,2021/2/4,8967
DC10,DC5,2021/2/4,5896
DC10,DC9,2021/2/4,2822
DC3,DC5,2021/2/5,123
DC3,DC9,2021/2/5,12
DC3,DC10,2021/2/5,908
DC5,DC3,2021/2/5,410
DC5,DC9,2021/2/5,78
DC5,DC10,2021/2/5,1804
DC7,DC3,2021/2/5,622
DC7,DC5,2021/2/5,391
DC7,DC9,2021/2/5,3880
DC7,DC10,2021/2/5,3
DC9,DC3,2021/2/5,18430
DC9,DC5,2021/2/5,16107
DC9,DC10,2021/2/5,975
DC10,DC3,2021/2/5,4450
DC10,DC5,2021/2/5,12157
DC10,DC9,2021/2/5,1048
DC3,DC5,2021/2/6,458
DC3,DC9,2021/2/6,46
DC3,DC10,2021/2/6,2011
DC5,DC3,2021/2/6,308
DC5,DC9,2021/2/6,16
DC5,DC10,2021/2/6,984
DC7,DC3,2021/2/6,355
DC7,DC5,2021/2/6,266
DC7,DC9,2021/2/6,3554
DC7,DC10,2021/2/6,4
DC9,DC3,2021/2/6,9507
DC9,DC5,2021/2/6,19924
DC9,DC10,2021/2/6,386
DC10,DC3,2021/2/6,5680
DC10,DC5,2021/2/6,7087
DC10,DC9,2021/2/6,1961
DC3,DC5,2021/2/7,249
DC3,DC9,2021/2/7,8
DC3,DC10,2021/2/7,924
DC5,DC3,2021/2/7,440
DC5,DC9,2021/2/7,8
DC5,DC10,2021/2/7,2663
DC7,DC3,2021/2/7,137
DC7,DC5,2021/2/7,155
DC7,DC9,2021/2/7,1116
DC9,DC3,2021/2/7,16118
DC9,DC5,2021/2/7,15680
DC9,DC10,2021/2/7,949
DC10,DC3,2021/2/7,7607
DC10,DC5,2021/2/7,5208
DC10,DC9,2021/2/7,1409
DC3,DC5,2021/2/8,239
DC3,DC9,2021/2/8,13
DC3,DC10,2021/2/8,1240
DC5,DC3,2021/2/8,249
DC5,DC9,2021/2/8,9
DC5,DC10,2021/2/8,1527
DC7,DC3,2021/2/8,92
DC7,DC5,2021/2/8,76
DC7,DC9,2021/2/8,543
DC7,DC10,2021/2/8,16
DC9,DC3,2021/2/8,9441
DC9,DC5,2021/2/8,13464
DC9,DC10,2021/2/8,272
DC10,DC3,2021/2/8,12994
DC10,DC5,2021/2/8,5518
DC10,DC9,2021/2/8,1279
DC3,DC5,2021/2/9,22
DC3,DC10,2021/2/9,52
DC5,DC3,2021/2/9,206
DC5,DC9,2021/2/9,4
DC5,DC10,2021/2/9,1113
DC7,DC3,2021/2/9,101
DC7,DC5,2021/2/9,168
DC7,DC9,2021/2/9,1783
DC7,DC10,2021/2/9,2
DC9,DC3,2021/2/9,16104
DC9,DC5,2021/2/9,8065
DC9,DC10,2021/2/9,695
DC10,DC3,2021/2/9,2205
DC10,DC5,2021/2/9,2479
DC10,DC9,2021/2/9,1342
DC3,DC5,2021/2/10,5
DC3,DC10,2021/2/10,5
DC5,DC3,2021/2/10,85
DC5,DC9,2021/2/10,9
DC5,DC10,2021/2/10,489
DC7,DC3,2021/2/10,174
DC7,DC5,2021/2/10,137
DC7,DC9,2021/2/10,689
DC7,DC10,2021/2/10,8
DC9,DC3,2021/2/10,6424
DC9,DC5,2021/2/10,7773
DC9,DC10,2021/2/10,503
DC10,DC3,2021/2/10,3395
DC10,DC5,2021/2/10,3440
DC10,DC9,2021/2/10,310
DC3,DC5,2021/2/11,28
DC3,DC10,2021/2/11,4
DC5,DC3,2021/2/11,183
DC5,DC9,2021/2/11,1
DC5,DC10,2021/2/11,134
DC7,DC3,2021/2/11,70
DC7,DC5,2021/2/11,81
DC7,DC9,2021/2/11,827
DC7,DC10,2021/2/11,1
DC9,DC3,2021/2/11,2923
DC9,DC5,2021/2/11,3659
DC9,DC10,2021/2/11,87
DC10,DC3,2021/2/11,432
DC10,DC5,2021/2/11,990
DC10,DC9,2021/2/11,89
DC3,DC5,2021/2/12,6
DC5,DC3,2021/2/12,2
DC7,DC3,2021/2/12,94
DC7,DC5,2021/2/12,89
DC7,DC9,2021/2/12,323
DC7,DC10,2021/2/12,3
DC9,DC3,2021/2/12,1586
DC9,DC5,2021/2/12,1766
DC9,DC10,2021/2/12,47
DC10,DC3,2021/2/12,324
DC10,DC5,2021/2/12,343
DC10,DC9,2021/2/12,81
DC3,DC5,2021/2/13,4
DC5,DC3,2021/2/13,20
DC5,DC9,2021/2/13,8
DC5,DC10,2021/2/13,394
DC7,DC3,2021/2/13,115
DC7,DC5,2021/2/13,98
DC7,DC9,2021/2/13,734
DC9,DC3,2021/2/13,4136
DC9,DC5,2021/2/13,3211
DC9,DC10,2021/2/13,142
DC10,DC3,2021/2/13,1647
DC10,DC5,2021/2/13,2030
DC10,DC9,2021/2/13,39
DC3,DC5,2021/2/14,7
DC3,DC10,2021/2/14,6
DC5,DC3,2021/2/14,49
DC5,DC9,2021/2/14,4
DC5,DC10,2021/2/14,479
DC7,DC3,2021/2/14,67
DC7,DC5,2021/2/14,122
DC7,DC9,2021/2/14,926
DC7,DC10,2021/2/14,4
DC9,DC3,2021/2/14,7491
DC9,DC5,2021/2/14,3453
DC9,DC10,2021/2/14,134
DC10,DC3,2021/2/14,1589
DC10,DC5,2021/2/14,1868
DC10,DC9,2021/2/14,25
DC3,DC5,2021/2/15,3
DC3,DC10,2021/2/15,11
DC5,DC3,2021/2/15,120
DC5,DC9,2021/2/15,7
DC5,DC10,2021/2/15,293
DC7,DC3,2021/2/15,557
DC7,DC5,2021/2/15,680
DC7,DC9,2021/2/15,2615
DC7,DC10,2021/2/15,4
DC9,DC3,2021/2/15,2590
DC9,DC5,2021/2/15,3452
DC9,DC10,2021/2/15,112
DC10,DC3,2021/2/15,1128
DC10,DC5,2021/2/15,2009
DC10,DC9,2021/2/15,117
DC3,DC5,2021/2/16,1
DC5,DC3,2021/2/16,191
DC5,DC9,2021/2/16,4
DC5,DC10,2021/2/16,908
DC7,DC3,2021/2/16,863
DC7,DC5,2021/2/16,745
DC7,DC9,2021/2/16,3636
DC7,DC10,2021/2/16,8
DC9,DC3,2021/2/16,3971
DC9,DC5,2021/2/16,2274
DC9,DC10,2021/2/16,126
DC10,DC3,2021/2/16,1718
DC10,DC5,2021/2/16,3277
DC10,DC9,2021/2/16,58
DC3,DC5,2021/2/17,5
DC5,DC3,2021/2/17,36
DC5,DC9,2021/2/17,7
DC5,DC10,2021/2/17,364
DC7,DC3,2021/2/17,419
DC7,DC5,2021/2/17,517
DC7,DC9,2021/2/17,3364
DC7,DC10,2021/2/17,4
DC9,DC3,2021/2/17,3161
DC9,DC5,2021/2/17,2795
DC9,DC10,2021/2/17,37
DC10,DC3,2021/2/17,1507
DC10,DC5,2021/2/17,1352
DC10,DC9,2021/2/17,277
DC5,DC3,2021/2/18,86
DC5,DC9,2021/2/18,3
DC5,DC10,2021/2/18,413
DC7,DC3,2021/2/18,683
DC7,DC5,2021/2/18,912
DC7,DC9,2021/2/18,5331
DC7,DC10,2021/2/18,7
DC9,DC3,2021/2/18,6301
DC9,DC5,2021/2/18,4601
DC9,DC10,2021/2/18,761
DC10,DC3,2021/2/18,2048
DC10,DC5,2021/2/18,5261
DC10,DC9,2021/2/18,571
DC3,DC5,2021/2/19,2
DC5,DC3,2021/2/19,59
DC5,DC9,2021/2/19,3
DC5,DC10,2021/2/19,433
DC7,DC3,2021/2/19,1561
DC7,DC5,2021/2/19,1395
DC7,DC9,2021/2/19,7759
DC7,DC10,2021/2/19,15
DC9,DC3,2021/2/19,6534
DC9,DC5,2021/2/19,5531
DC9,DC10,2021/2/19,479
DC10,DC3,2021/2/19,7490
DC10,DC5,2021/2/19,5738
DC10,DC9,2021/2/19,514
DC3,DC5,2021/2/20,3
DC5,DC3,2021/2/20,81
DC5,DC10,2021/2/20,376
DC7,DC3,2021/2/20,1256
DC7,DC5,2021/2/20,586
DC7,DC9,2021/2/20,7275
DC7,DC10,2021/2/20,9
DC9,DC3,2021/2/20,4451
DC9,DC5,2021/2/20,7166
DC9,DC10,2021/2/20,332
DC10,DC3,2021/2/20,3045
DC10,DC5,2021/2/20,4627
DC10,DC9,2021/2/20,751
DC3,DC5,2021/2/21,3
DC5,DC3,2021/2/21,135
DC5,DC9,2021/2/21,5
DC5,DC10,2021/2/21,853
DC7,DC3,2021/2/21,780
DC7,DC5,2021/2/21,780
DC7,DC9,2021/2/21,6627
DC7,DC10,2021/2/21,30
DC9,DC3,2021/2/21,4356
DC9,DC5,2021/2/21,5151
DC9,DC10,2021/2/21,402
DC10,DC3,2021/2/21,4014
DC10,DC5,2021/2/21,2877
DC10,DC9,2021/2/21,273
DC3,DC5,2021/2/22,2
DC3,DC10,2021/2/22,3
DC5,DC3,2021/2/22,229
DC5,DC9,2021/2/22,1
DC5,DC10,2021/2/22,284
DC7,DC3,2021/2/22,816
DC7,DC5,2021/2/22,279
DC7,DC9,2021/2/22,5092
DC7,DC10,2021/2/22,3
DC9,DC3,2021/2/22,8376
DC9,DC5,2021/2/22,6427
DC9,DC10,2021/2/22,423
DC10,DC3,2021/2/22,4339
DC10,DC5,2021/2/22,7944
DC10,DC9,2021/2/22,225
DC3,DC9,2021/2/23,1
DC3,DC10,2021/2/23,12
DC5,DC3,2021/2/23,75
DC5,DC9,2021/2/23,1
DC5,DC10,2021/2/23,617
DC7,DC3,2021/2/23,987
DC7,DC5,2021/2/23,602
DC7,DC9,2021/2/23,2120
DC7,DC10,2021/2/23,8
DC9,DC3,2021/2/23,8029
DC9,DC5,2021/2/23,11447
DC9,DC10,2021/2/23,245
DC10,DC3,2021/2/23,6547
DC10,DC5,2021/2/23,7110
DC10,DC9,2021/2/23,258
DC3,DC5,2021/2/24,1
DC3,DC10,2021/2/24,51
